coherent_drawer_contradiction,coherent_static_contradiction,continuity_advantage_static_minus_drawer,cues_used,drawer_attachment_score,drawer_continuity_median,drawer_contradiction_run,drawer_switch_count,drawer_switch_fraction,experiment_set,experimental_identity_preference,original_frame_id,proposal_id,q_m,region_directory,source_layer,static_continuity_median,static_contradiction_run,static_disocclusion_score,static_switch_count,static_switch_fraction,strong_drawer_attachment,strong_static_disocclusion
False,False,-0.0269905513788391,"{""drawer"": [""drawer_attachment""], ""static"": []}",0.75,0.5027160056224174,0,0,0.0,ambiguity,unresolved,200,frame_200_layer_6,0.2734369146971839,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/043_frame_200_layer_6,6,0.47572545424357826,0,0.6165302634952488,0,0.0,True,False
False,False,-0.0375734742853856,"{""drawer"": [], ""static"": []}",0.05,0.6777458051795641,0,0,0.0,ambiguity,unresolved,200,frame_200_layer_10,0.2734369146971839,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/044_frame_200_layer_10,10,0.6401723308941785,0,0.356566193870724,0,0.0,False,False
False,False,0.27700995919253457,"{""drawer"": [], ""static"": [""surface_continuity_advantage""]}",0.15,0.5059879980897743,0,0,0.0,ambiguity,unresolved,200,frame_200_layer_24,0.2734369146971839,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/045_frame_200_layer_24,24,0.7829979572823089,0,0.3333333333333333,0,0.0,False,False
False,False,0.29405383634887605,"{""drawer"": [""drawer_attachment""], ""static"": [""surface_continuity_advantage""]}",1.0,0.5666737339471197,0,0,0.0,ambiguity,unresolved,200,frame_200_layer_28,0.2734369146971839,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/046_frame_200_layer_28,28,0.8607275702959958,0,0.3333333333333333,0,0.0,True,False
False,False,0.24861484438862053,"{""drawer"": [], ""static"": [""surface_continuity_advantage""]}",0.3,0.34165153876888393,0,0,0.0,ambiguity,unresolved,201,frame_201_layer_0,0.2758790548320902,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/047_frame_201_layer_0,0,0.5902663831575045,0,0.3333333333333333,0,0.0,False,False
False,False,0.6991863356739476,"{""drawer"": [], ""static"": [""surface_continuity_advantage""]}",0.0,0.07966772836234881,0,0,0.0,ambiguity,unresolved,201,frame_201_layer_3,0.2758790548320902,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/048_frame_201_layer_3,3,0.7788540640362964,0,0.45503324696800024,2,0.3333333333333333,False,False
False,False,-0.07594161264608423,"{""drawer"": [""drawer_attachment""], ""static"": []}",0.7,0.5576956658827363,0,0,0.0,ambiguity,unresolved,201,frame_201_layer_6,0.2758790548320902,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/049_frame_201_layer_6,6,0.4817540532366521,0,0.6165302634952488,0,0.0,True,False
False,False,-0.023528554710914085,"{""drawer"": [], ""static"": []}",0.05,0.6866018339674818,0,0,0.0,ambiguity,unresolved,201,frame_201_layer_10,0.2758790548320902,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/050_frame_201_layer_10,10,0.6630732792565677,0,0.3909076948802517,0,0.0,False,False
False,False,0.04626074317240103,"{""drawer"": [], ""static"": [""explained_static_disocclusion""]}",0.2,0.6779730298578043,0,0,0.0,ambiguity,unresolved,201,frame_201_layer_12,0.2758790548320902,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/051_frame_201_layer_12,12,0.7242337730302053,0,0.9121624869526489,1,0.125,False,True
False,False,0.3179045954666606,"{""drawer"": [], ""static"": [""surface_continuity_advantage""]}",0.15,0.4817395087696307,0,0,0.0,ambiguity,unresolved,201,frame_201_layer_24,0.2758790548320902,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/052_frame_201_layer_24,24,0.7996441042362913,0,0.3333333333333333,0,0.0,False,False
