original_frame_id,proposal_id,source_layer,control_group,decision,formal_ownership_label,decision_reason,multi_baseline_observation_count,accepted_observation_count,short_count,medium_count,long_count,informative_observation_count,posterior_moving,aggregate_log_evidence_moving_over_static,static_residual_vs_discriminative_slope,moving_residual_vs_discriminative_slope,tangent_motion,trusted_finite_physical_edge,causal_static_positive,expected_label
201,frame_201_layer_6,6,documented_floor_false_positive,WORLD_STATIC,WORLD_STATIC,frozen_noise_multi_baseline_likelihood_favors_static_model,22,15,3,3,9,8,7.26274350449322e-18,-39.46377402325888,0.019685858817740497,1.751681040787571,True,False,False,NOT_MOVING_LINK
202,frame_202_layer_6,6,documented_floor_false_positive,WORLD_STATIC,WORLD_STATIC,frozen_noise_multi_baseline_likelihood_favors_static_model,21,14,2,3,9,8,1.1082558941525767e-17,-39.04115906783761,0.09351442727901978,1.7572092004590183,True,False,False,NOT_MOVING_LINK
203,frame_203_layer_6,6,documented_floor_false_positive,WORLD_STATIC,WORLD_STATIC,frozen_noise_multi_baseline_likelihood_favors_static_model,21,13,3,1,9,7,3.775441958482343e-15,-33.21025894396779,0.03643231570850605,1.75847306675883,True,False,False,NOT_MOVING_LINK
204,frame_204_layer_6,6,documented_floor_false_positive,WORLD_STATIC,WORLD_STATIC,frozen_noise_multi_baseline_likelihood_favors_static_model,23,15,4,2,9,8,1.5768792956496365e-16,-36.3859137233417,0.013202920289754758,1.728100347090179,True,False,False,NOT_MOVING_LINK
205,frame_205_layer_6,6,documented_floor_false_positive,WORLD_STATIC,WORLD_STATIC,frozen_noise_multi_baseline_likelihood_favors_static_model,23,15,4,2,9,8,2.6367846875211067e-17,-38.17438632740308,0.03717756563305957,1.8104007347155815,True,False,False,NOT_MOVING_LINK
206,frame_206_layer_6,6,documented_floor_false_positive,WORLD_STATIC,WORLD_STATIC,frozen_noise_multi_baseline_likelihood_favors_static_model,23,14,1,4,9,7,1.5606917597456393e-15,-34.093647236203424,0.09529506978573778,1.9132336407985868,True,False,False,NOT_MOVING_LINK
207,frame_207_layer_6,6,documented_floor_false_positive,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,0,0,0,0,0,0,0.5,0.0,,,True,False,False,NOT_MOVING_LINK
211,frame_211_layer_2,2,plateau_only,UNKNOWN,UNKNOWN,plateau_only_comparisons_cannot_create_ownership,0,0,0,0,0,0,0.5,0.0,,,False,True,False,UNKNOWN
213,frame_213_layer_2,2,plateau_only,UNKNOWN,UNKNOWN,plateau_only_comparisons_cannot_create_ownership,0,0,0,0,0,0,0.5,0.0,,,False,True,False,UNKNOWN
195,frame_195_layer_3,3,provisional_world_static,WORLD_STATIC,WORLD_STATIC,frozen_noise_multi_baseline_likelihood_favors_static_model,23,13,0,2,11,13,2.0568525679461085e-99,-227.2347472716452,0.00024125014347743318,2.1962558430618233,False,True,False,WORLD_STATIC_OR_UNKNOWN
196,frame_196_layer_3,3,provisional_world_static,WORLD_STATIC,WORLD_STATIC,frozen_noise_multi_baseline_likelihood_favors_static_model,23,14,0,3,11,14,4.335221823832566e-91,-208.06847068310054,0.007589756499849629,0.5444922033667757,False,True,False,WORLD_STATIC_OR_UNKNOWN
197,frame_197_layer_3,3,provisional_world_static,UNKNOWN,UNKNOWN,likelihood_or_residual_trend_not_consistent_enough,23,15,0,5,10,15,4.646326358986417e-76,-173.46039019051213,0.006831568493700522,-0.3710266461408061,False,True,False,WORLD_STATIC_OR_UNKNOWN
