original_frame_id,proposal_id,source_layer,control_group,decision,formal_ownership_label,decision_reason,observation_count,informative_observation_count,effective_chain_length,censored_observation_count,ambiguous_neutral_observation_count,posterior_moving_before_censor,posterior_moving_after_censor,aggregate_evidence_before_censor,aggregate_evidence_after_censor,tangent_motion,trusted_finite_physical_edge,short_censored,short_ambiguous,short_moving_evidence,short_static_evidence,medium_censored,medium_ambiguous,medium_moving_evidence,medium_static_evidence,long_censored,long_ambiguous,long_moving_evidence,long_static_evidence,expected_label
198,frame_198_layer_6,6,documented_floor_false_positive,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,24,7,7,6,10,2.6635361130517713e-15,2.6635361130517713e-15,-33.559121789132554,-33.559121789132554,True,False,0,1,0,0,0,7,0,0,6,2,0,8,NOT_MOVING_LINK
199,frame_199_layer_6,6,documented_floor_false_positive,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,7,7,7,8,4.307118219480733e-15,4.307118219480733e-15,-33.078507340996055,-33.078507340996055,True,False,0,3,0,0,0,5,0,0,7,0,0,8,NOT_MOVING_LINK
200,frame_200_layer_6,6,documented_floor_false_positive,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,22,7,7,8,6,2.296595454667931e-14,2.296595454667931e-14,-31.404763512715668,-31.404763512715668,True,False,0,3,0,0,0,3,0,0,8,0,0,8,NOT_MOVING_LINK
201,frame_201_layer_6,6,documented_floor_false_positive,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,22,8,8,7,6,7.26274350449322e-18,7.26274350449322e-18,-39.46377402325888,-39.46377402325888,True,False,0,3,0,0,0,3,0,0,7,0,0,9,NOT_MOVING_LINK
202,frame_202_layer_6,6,documented_floor_false_positive,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,21,8,8,7,5,1.1082558941525767e-17,1.1082558941525767e-17,-39.04115906783761,-39.04115906783761,True,False,0,2,0,0,0,3,0,0,7,0,0,9,NOT_MOVING_LINK
203,frame_203_layer_6,6,documented_floor_false_positive,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,21,7,7,8,5,3.775441958482343e-15,3.775441958482343e-15,-33.21025894396779,-33.21025894396779,True,False,0,3,0,0,0,1,0,0,8,1,0,8,NOT_MOVING_LINK
204,frame_204_layer_6,6,documented_floor_false_positive,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,8,8,8,7,1.5768792956496365e-16,1.5768792956496365e-16,-36.3859137233417,-36.3859137233417,True,False,0,4,0,0,0,2,0,0,8,1,0,8,NOT_MOVING_LINK
205,frame_205_layer_6,6,documented_floor_false_positive,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,8,8,8,6,2.6367846875211067e-17,2.6367846875211067e-17,-38.17438632740308,-38.17438632740308,True,False,0,4,0,0,0,2,0,0,8,0,0,9,NOT_MOVING_LINK
206,frame_206_layer_6,6,documented_floor_false_positive,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,7,7,9,6,1.5606917597456393e-15,1.5606917597456393e-15,-34.093647236203424,-34.093647236203424,True,False,0,1,0,0,0,4,0,0,9,1,0,8,NOT_MOVING_LINK
207,frame_207_layer_6,6,documented_floor_false_positive,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,0,0,0,0,0,0.5,0.5,0.0,0.0,True,False,0,0,0,0,0,0,0,0,0,0,0,0,NOT_MOVING_LINK
211,frame_211_layer_2,2,plateau_only,UNKNOWN,UNKNOWN,plateau_only_comparisons_cannot_create_ownership,0,0,0,0,0,0.5,0.5,0.0,0.0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN
213,frame_213_layer_2,2,plateau_only,UNKNOWN,UNKNOWN,plateau_only_comparisons_cannot_create_ownership,0,0,0,0,0,0.5,0.5,0.0,0.0,False,True,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN
195,frame_195_layer_3,3,provisional_world_static,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,13,13,10,0,2.0568525679461085e-99,2.0568525679461085e-99,-227.2347472716452,-227.2347472716452,False,True,0,0,0,0,0,0,0,2,10,0,0,11,WORLD_STATIC_OR_UNKNOWN
196,frame_196_layer_3,3,provisional_world_static,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,14,14,9,0,4.335221823832566e-91,4.335221823832566e-91,-208.06847068310054,-208.06847068310054,False,True,0,0,0,0,0,0,0,3,9,0,0,11,WORLD_STATIC_OR_UNKNOWN
197,frame_197_layer_3,3,provisional_world_static,UNKNOWN,UNKNOWN,retained_evidence_not_consistent_enough,23,15,15,8,0,4.646326358986417e-76,4.646326358986417e-76,-173.46039019051213,-173.46039019051213,False,True,0,0,0,0,0,0,0,5,8,0,0,10,WORLD_STATIC_OR_UNKNOWN
