original_frame_id,proposal_id,source_layer,control_group,decision,formal_ownership_label,decision_reason,observation_count,informative_observation_count,effective_chain_length,censored_observation_count,ambiguous_neutral_observation_count,posterior_moving_before_censor,posterior_moving_after_censor,aggregate_evidence_before_censor,aggregate_evidence_after_censor,tangent_motion,trusted_finite_physical_edge,short_censored,short_ambiguous,short_moving_evidence,short_static_evidence,medium_censored,medium_ambiguous,medium_moving_evidence,medium_static_evidence,long_censored,long_ambiguous,long_moving_evidence,long_static_evidence
195,frame_195_layer_11,11,ambiguity_116,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,23,0,0,12,0,1.2845827344353467e-82,0.5,-188.5615436801814,0.0,True,False,0,0,0,0,1,0,1,0,11,0,10,0
195,frame_195_layer_28,28,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,5,5,0,4,3.3139079373051145e-12,3.3139079373051145e-12,-26.432892977238804,-26.432892977238804,True,False,0,0,0,0,0,2,0,0,0,2,0,19
196,frame_196_layer_0,0,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,6,6,11,5,3.011635833643278e-07,3.011635833643278e-07,-15.015611952331577,-15.015611952331577,True,True,0,0,0,0,0,3,0,0,11,2,0,7
196,frame_196_layer_6,6,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,6,6,9,4,0.022652038252587655,2.7797254700352762e-12,-3.764592904950958,-26.608668944885373,True,False,0,0,0,0,0,3,0,0,9,1,0,10
196,frame_196_layer_11,11,ambiguity_116,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,23,0,0,13,1,2.4504870842686217e-94,0.5,-215.54671192673817,0.0,True,False,0,0,0,0,0,1,2,0,13,0,7,0
196,frame_196_layer_28,28,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,6,6,0,4,1.2523336580425629e-15,1.2523336580425629e-15,-34.31376765770361,-34.31376765770361,True,True,0,0,0,0,0,2,0,1,0,2,0,18
197,frame_197_layer_0,0,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,3,3,11,9,0.0002913560906238509,0.0002913560906238509,-8.140672961215042,-8.140672961215042,True,False,0,0,0,0,0,5,0,0,11,4,0,3
197,frame_197_layer_6,6,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,6,6,6,8,7.478726351693227e-13,7.478726351693227e-13,-27.9215437052715,-27.9215437052715,True,False,0,0,0,0,0,5,0,0,6,3,0,9
197,frame_197_layer_10,10,ambiguity_116,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,23,0,0,17,1,3.15301836297424e-73,0.5,-166.94035158405038,0.0,True,False,0,0,0,0,2,1,1,1,15,0,0,3
197,frame_197_layer_11,11,ambiguity_116,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,23,0,0,11,1,1.0586372425554386e-108,0.5,-248.62220758258235,0.0,True,False,0,0,0,0,0,1,4,0,11,0,7,0
197,frame_197_layer_28,28,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,7,7,0,4,4.765896225010652e-19,4.765896225010652e-19,-42.18763116246948,-42.18763116246948,True,False,0,0,0,0,0,2,0,3,0,2,0,16
198,frame_198_layer_0,0,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,24,2,2,13,9,0.0006768653853946941,0.0006768653853946941,-7.29736105015075,-7.29736105015075,True,True,0,1,0,0,0,7,0,0,13,1,0,2
198,frame_198_layer_6,6,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,24,7,7,6,10,2.6635361130517713e-15,2.6635361130517713e-15,-33.559121789132554,-33.559121789132554,True,False,0,1,0,0,0,7,0,0,6,2,0,8
198,frame_198_layer_10,10,ambiguity_116,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,24,0,0,17,4,1.367067298599964e-78,0.5,-179.28896946613506,0.0,True,False,0,0,1,0,2,3,0,2,15,1,0,0
198,frame_198_layer_11,11,ambiguity_116,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,24,0,0,13,3,1.2796452845724322e-103,0.5,-236.9196816602882,0.0,True,False,0,1,0,0,0,2,5,0,13,0,3,0
198,frame_198_layer_28,28,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,24,8,8,0,9,8.351631880840522e-23,8.351631880840522e-23,-50.837000184263985,-50.837000184263985,True,True,0,1,0,0,0,6,0,1,0,2,0,14
199,frame_199_layer_0,0,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,2,2,14,7,0.00031001210658386025,0.00031001210658386025,-8.078589147581056,-8.078589147581056,True,False,0,3,0,0,1,4,0,0,13,0,0,2
199,frame_199_layer_3,3,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,15,15,8,0,8.434940697223613e-47,8.434940697223613e-47,-106.08911668530726,-106.08911668530726,False,True,0,0,0,3,0,0,0,5,8,0,0,7
199,frame_199_layer_6,6,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,7,7,7,8,4.307118219480733e-15,4.307118219480733e-15,-33.078507340996055,-33.078507340996055,True,False,0,3,0,0,0,5,0,0,7,0,0,8
199,frame_199_layer_10,10,ambiguity_116,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,23,0,0,17,3,1.9579350245662048e-81,0.5,-185.83750217355336,0.0,True,False,1,1,1,0,1,2,1,1,15,0,0,0
199,frame_199_layer_12,12,ambiguity_116,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,23,3,3,19,1,3.1805330874172747e-114,1.0612070382697822e-08,-261.3376517810261,-18.36127375771203,True,False,2,1,0,0,5,0,0,0,12,0,0,3
199,frame_199_layer_24,24,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,6,6,12,1,2.2285211515236294e-33,2.2285211515236294e-33,-75.18396986407157,-75.18396986407157,True,True,1,1,0,1,2,0,0,3,9,0,0,6
199,frame_199_layer_28,28,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,9,9,0,9,6.02323078378401e-26,6.02323078378401e-26,-58.07158862743583,-58.07158862743583,True,True,0,3,0,0,0,5,0,0,0,1,0,14
200,frame_200_layer_0,0,ambiguity_116,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,22,1,1,16,5,0.011985246160537154,0.011985246160537154,-4.4120212239449295,-4.4120212239449295,True,False,0,3,0,0,1,2,0,0,15,0,0,1
200,frame_200_layer_3,3,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,22,14,14,8,0,1.7046981873310368e-37,1.7046981873310368e-37,-84.66226036194156,-84.66226036194156,False,True,0,0,0,3,0,0,0,3,8,0,0,8
200,frame_200_layer_6,6,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,22,7,7,8,6,2.296595454667931e-14,2.296595454667931e-14,-31.404763512715668,-31.404763512715668,True,False,0,3,0,0,0,3,0,0,8,0,0,8
200,frame_200_layer_10,10,ambiguity_116,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,22,0,0,16,2,5.200229079640351e-88,0.5,-200.978785505082,0.0,True,False,0,1,1,1,0,1,0,2,16,0,0,0
200,frame_200_layer_24,24,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,22,3,3,16,2,1.4656807775314772e-17,1.4656807775314772e-17,-38.76162675180609,-38.76162675180609,True,True,0,2,0,1,3,0,0,0,13,0,0,3
200,frame_200_layer_28,28,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,22,10,10,0,8,3.44833654132789e-29,3.44833654132789e-29,-65.53707574399544,-65.53707574399544,True,True,0,3,0,0,0,3,0,0,0,2,0,14
