original_frame_id,q_m,proposal_id,source_layer,formal_v4_label,v5_decision,decision_reason,static_verified_active,drawer_verified_active,static_verified_fraction,drawer_verified_fraction,accepted_causal_disocclusion_events,static_contradiction_veto,drawer_contradiction_veto,finite_boundary_confidence,normal_axis_alignment,tangent_motion_ambiguity,region_directory
187,0.05919969964910532,frame_187_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,5,9,0.29411764705882354,0.5294117647058824,0,False,True,0.005050505050505083,0.10089199582072983,True,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_002/regions/000_frame_187_layer_0
188,0.07293716335462896,frame_188_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,5,10,0.2777777777777778,0.5555555555555556,0,False,False,0.0,0.10262218540668502,True,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_002/regions/001_frame_188_layer_0
189,0.08973465676920167,frame_189_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,5,11,0.2631578947368421,0.5789473684210527,0,False,False,0.01715686274509809,0.1021232184501571,True,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_002/regions/002_frame_189_layer_0
189,0.08973465676920167,frame_189_layer_6,6,unknown,UNKNOWN,insufficient_positive_physical_evidence,1,15,0.05263157894736842,0.7894736842105263,0,False,False,0.0,0.08871422850602163,True,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_002/regions/003_frame_189_layer_6
190,0.10665393781713517,frame_190_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,9,8,0.45,0.4,0,False,False,0.0,0.10110077171228661,True,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_002/regions/004_frame_190_layer_0
190,0.10665393781713517,frame_190_layer_6,6,unknown,UNKNOWN,insufficient_positive_physical_evidence,2,16,0.1,0.8,0,False,False,0.0,0.08855366058704311,True,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_002/regions/005_frame_190_layer_6
191,0.12346363394546822,frame_191_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,5,7,0.25,0.35,0,False,False,0.014563106796116498,0.10179862410334628,True,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_002/regions/006_frame_191_layer_0
191,0.12346363394546822,frame_191_layer_6,6,unknown,UNKNOWN,insufficient_positive_physical_evidence,2,16,0.1,0.8,0,False,False,0.0,0.08906559636357586,True,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_002/regions/007_frame_191_layer_6
192,0.14041430579681058,frame_192_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,12,8,0.6,0.4,0,False,False,0.0,0.10296449712206301,True,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_002/regions/008_frame_192_layer_0
192,0.14041430579681058,frame_192_layer_6,6,unknown,UNKNOWN,insufficient_positive_physical_evidence,2,18,0.1,0.9,0,False,False,0.0,0.08874886748667325,True,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_002/regions/009_frame_192_layer_6
193,0.1583840011236365,frame_193_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,12,7,0.6,0.35,0,False,False,0.0,0.10272085559458713,True,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_002/regions/010_frame_193_layer_0
193,0.1583840011236365,frame_193_layer_6,6,unknown,UNKNOWN,insufficient_positive_physical_evidence,3,17,0.15,0.85,0,False,False,0.0,0.08899714175541543,True,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_002/regions/011_frame_193_layer_6
193,0.1583840011236365,frame_193_layer_11,11,unknown,UNKNOWN,insufficient_positive_physical_evidence,1,11,0.05,0.55,0,False,False,0.012578616352201255,0.0575445275159967,True,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_002/regions/012_frame_193_layer_11
194,0.17589940581780827,frame_194_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,10,4,0.5,0.2,0,False,False,0.0,0.1016155090033548,True,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_002/regions/013_frame_194_layer_0
194,0.17589940581780827,frame_194_layer_6,6,unknown,UNKNOWN,insufficient_positive_physical_evidence,3,16,0.15,0.8,0,False,False,0.0,0.08956299970844613,True,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_002/regions/014_frame_194_layer_6
194,0.17589940581780827,frame_194_layer_11,11,unknown,UNKNOWN,insufficient_positive_physical_evidence,1,10,0.05,0.5,0,False,False,0.11445783132530118,0.04292327713909416,True,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_002/regions/015_frame_194_layer_11
195,0.19341339188972073,frame_195_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,11,5,0.55,0.25,0,False,False,0.0,0.1014568533128843,True,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_002/regions/016_frame_195_layer_0
