original_frame_id,q_m,proposal_id,source_layer,formal_v4_label,v5_decision,decision_reason,static_verified_active,drawer_verified_active,static_verified_fraction,drawer_verified_fraction,accepted_causal_disocclusion_events,static_contradiction_veto,drawer_contradiction_veto,region_directory
201,0.2758790548320902,frame_201_layer_3,3,unknown,UNKNOWN,insufficient_positive_physical_evidence,4,0,0.5,0.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/048_frame_201_layer_3
201,0.2758790548320902,frame_201_layer_6,6,unknown,MOVING,positive_moving_physical_evidence_no_static_conflict,3,6,0.375,0.75,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/049_frame_201_layer_6
201,0.2758790548320902,frame_201_layer_10,10,unknown,UNKNOWN,insufficient_positive_physical_evidence,0,0,0.0,0.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/050_frame_201_layer_10
201,0.2758790548320902,frame_201_layer_12,12,unknown,UNKNOWN,insufficient_positive_physical_evidence,6,2,0.75,0.25,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/051_frame_201_layer_12
201,0.2758790548320902,frame_201_layer_24,24,unknown,UNKNOWN,insufficient_positive_physical_evidence,8,0,1.0,0.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/052_frame_201_layer_24
201,0.2758790548320902,frame_201_layer_28,28,unknown,UNKNOWN,insufficient_positive_physical_evidence,8,1,1.0,0.125,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/053_frame_201_layer_28
202,0.27760910093009805,frame_202_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,3,1,0.375,0.125,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/054_frame_202_layer_0
202,0.27760910093009805,frame_202_layer_3,3,unknown,UNKNOWN,insufficient_positive_physical_evidence,5,0,0.625,0.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/055_frame_202_layer_3
202,0.27760910093009805,frame_202_layer_6,6,unknown,MOVING,positive_moving_physical_evidence_no_static_conflict,3,7,0.375,0.875,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/056_frame_202_layer_6
202,0.27760910093009805,frame_202_layer_10,10,unknown,UNKNOWN,insufficient_positive_physical_evidence,0,1,0.0,0.125,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/057_frame_202_layer_10
