track_id,label,reason,unique_frame_count,q_span_m,q_span_fraction,static_median_residual_m,static_p90_residual_m,static_max_residual_m,E_static_m,drawer_median_residual_m,drawer_p90_residual_m,drawer_max_residual_m,E_drawer_m,observation_confidence
0,unknown,unknown_insufficient_support,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,unknown,unknown_low_excitation,5,0.019908451540738836,0.06631076236742411,0.07722598531864856,0.14820309594299563,0.1830047358534291,0.14820309594299563,0.0771979776570238,0.14081193144325097,0.18297083800082198,0.14081193144325097,0.9994560599327087
2,unknown,unknown_insufficient_support,2,0.0,0.0,0.05338749991254563,0.05338749991254598,0.05338749991254607,0.05338749991254598,0.05338749991254563,0.05338749991254598,0.05338749991254607,0.05338749991254598,0.999938428401947
3,unknown,unknown_insufficient_support,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,unknown,unknown_insufficient_support,2,0.0,0.0,0.06960011980320283,0.06960011980320285,0.06960011980320285,0.06960011980320285,0.06960011980320283,0.06960011980320285,0.06960011980320285,0.06960011980320285,0.999999463558197
5,unknown,unknown_insufficient_support,2,0.0,0.0,0.07859754831333642,0.07859754831333643,0.07859754831333643,0.07859754831333643,0.07859754831333642,0.07859754831333643,0.07859754831333643,0.07859754831333643,0.9755948185920715
6,unknown,unknown_absolute_residual,11,0.12346363394546822,0.411230761710599,0.09755601672211041,0.1201301340888424,0.15844739697769872,0.1201301340888424,0.08225927771913433,0.1306538634250204,0.16706249110602228,0.1306538634250204,0.880497699434107
7,unknown,unknown_low_excitation,4,0.00019289409045231132,0.0006424886520124074,0.08136153565260949,0.13362253267634008,0.13746674510026854,0.13362253267634008,0.08137057924935134,0.13350529764739286,0.13730463324792413,0.13350529764739286,0.8379728123545647
8,unknown,unknown_insufficient_support,3,0.0011284266228279716,0.0037585459362473148,0.05355487706770774,0.07724953327613515,0.08317319732824201,0.07724953327613515,0.053365199744171345,0.07657505928497678,0.08237752417017813,0.07657505928497678,0.9510543346405029
9,unknown,unknown_absolute_residual,6,0.045213219262714155,0.15059549117926102,0.03359889978363423,0.061687859702881875,0.08398309990923757,0.061687859702881875,0.0449658939009884,0.0812228902735618,0.10367213722712287,0.0812228902735618,0.811546673377355
10,unknown,unknown_absolute_residual,7,0.07293716335462896,0.24293797521448543,0.049445584761305776,0.1374216389551698,0.21076544400720354,0.1374216389551698,0.04859869342937766,0.1516843275109459,0.2467713407792707,0.1516843275109459,0.9897909760475159
11,unknown,unknown_absolute_residual,8,0.12346363394546822,0.411230761710599,0.09307190732385076,0.2142419492946561,0.2535941693441215,0.2142419492946561,0.09529894187399274,0.2747035797400594,0.3386464952930457,0.2747035797400594,0.8664760142564774
12,unknown,unknown_insufficient_support,2,0.07293716335462896,0.24293797521448543,0.10516065079156445,0.10516065079156463,0.10516065079156467,0.10516065079156463,0.11214192239949922,0.11214192239949934,0.11214192239949937,0.11214192239949934,0.7065133601427078
13,static,static_track,4,0.045213219262714155,0.15059549117926102,0.011743760804094332,0.035675986849869355,0.045726212072047655,0.035675986849869355,0.014512062391638589,0.0581988970714228,0.0724169267420891,0.0581988970714228,0.8467616736888885
14,unknown,unknown_insufficient_support,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,unknown,unknown_insufficient_support,3,0.0,0.0,0.018182931501355918,0.08544666445202381,0.10226259768969077,0.08544666445202381,0.018182931501355918,0.08544666445202381,0.10226259768969077,0.08544666445202381,0.9507011771202087
16,unknown,unknown_absolute_residual,4,0.045213219262714155,0.15059549117926102,0.04803547570892627,0.0748793742900099,0.07558483516229197,0.0748793742900099,0.03195161404780499,0.08910403934556177,0.10488757126542957,0.08910403934556177,0.8055718541145325
17,unknown,unknown_insufficient_support,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,unknown,unknown_absolute_residual,6,0.05919969964910532,0.1971814436507913,0.026259663519724946,0.09801270623142334,0.14840094465441583,0.09801270623142334,0.018324766914500967,0.11935283636171684,0.16991472661513157,0.11935283636171684,0.9620371957619985
19,unknown,unknown_absolute_residual,6,0.05919969964910532,0.1971814436507913,0.018310586702083118,0.1089902506603495,0.161785365144453,0.1089902506603495,0.03126790352209656,0.12797414997834577,0.18814191763910604,0.12797414997834577,0.9771453340848287
20,unknown,unknown_absolute_residual,8,0.12346363394546822,0.411230761710599,0.12569982188762122,0.23072654500757198,0.278841027173759,0.23072654500757198,0.17591382103441436,0.27784411188098784,0.3358229021545041,0.27784411188098784,0.9505065828561783
21,unknown,unknown_low_excitation,4,0.00019289409045231132,0.0006424886520124074,0.037529716339782325,0.06991352500459311,0.07459260542963872,0.06991352500459311,0.03746126117901004,0.06987245190812974,0.07459260542963872,0.06987245190812974,0.9229734241962433
