init-system-helpers	1.62	all
intel-media-va-driver:amd64	22.3.1+dfsg1-1ubuntu2	amd64
iproute2	5.15.0-1ubuntu2.1	amd64
iso-codes	4.9.0-1	all
javascript-common	11+nmu1	all
less	590-1ubuntu0.22.04.3	amd64
libaacs0:amd64	0.11.1-1	amd64
libacl1:amd64	2.3.1-1	amd64
libann0	1.1.2+doc-7build1	amd64
libaom3:amd64	3.3.0-1ubuntu0.1	amd64
libapparmor1:amd64	3.0.4-2ubuntu2.5	amd64
libappstream4:amd64	0.15.2-2	amd64
libapr1:amd64	1.7.0-8ubuntu0.22.04.2	amd64
libaprutil1:amd64	1.6.1-5ubuntu4.22.04.2	amd64
libapt-pkg6.0:amd64	2.4.10	amd64
libarchive13:amd64	3.6.0-1ubuntu1.6	amd64
libargon2-1:amd64	0~20171227-0.3	amd64
libasan6:amd64	11.4.0-1ubuntu1~22.04	amd64
libasound2:amd64	1.2.6.1-1ubuntu1.1	amd64
libasound2-data	1.2.6.1-1ubuntu1.1	all
libass9:amd64	1:0.15.2-1	amd64
libassuan0:amd64	2.5.5-1build1	amd64
libasyncns0:amd64	0.8-6build2	amd64
libatk-bridge2.0-0:amd64	2.38.0-3	amd64
libatk1.0-0:amd64	2.36.0-3build1	amd64
libatk1.0-data	2.36.0-3build1	all
libatm1:amd64	1:2.5.1-4build2	amd64
libatomic1:amd64	12.3.0-1ubuntu1~22.04.3	amd64
libatspi2.0-0:amd64	2.44.0-3	amd64
libattr1:amd64	1:2.5.1-1build1	amd64
libaudit-common	1:3.0.7-1build1	all
libaudit1:amd64	1:3.0.7-1build1	amd64
libavahi-client3:amd64	0.8-5ubuntu5.5	amd64
libavahi-common-data:amd64	0.8-5ubuntu5.5	amd64
libavahi-common3:amd64	0.8-5ubuntu5.5	amd64
libavc1394-0:amd64	0.5.4-5build2	amd64
libavcodec58:amd64	7:4.4.2-0ubuntu0.22.04.1	amd64
libavdevice58:amd64	7:4.4.2-0ubuntu0.22.04.1	amd64
libavfilter7:amd64	7:4.4.2-0ubuntu0.22.04.1	amd64
libavformat58:amd64	7:4.4.2-0ubuntu0.22.04.1	amd64
libavutil56:amd64	7:4.4.2-0ubuntu0.22.04.1	amd64
libbdplus0:amd64	0.2.0-1	amd64
libbinutils:amd64	2.38-4ubuntu2.3	amd64
libblas3:amd64	3.10.0-2ubuntu1	amd64
libblkid1:amd64	2.37.2-4ubuntu3	amd64
libbluray2:amd64	1:1.3.1-1	amd64
libbpf0:amd64	1:0.5.0-1ubuntu22.04.1	amd64
libbrotli1:amd64	1.0.9-2build6	amd64
libbs2b0:amd64	3.1.0+dfsg-2.2build1	amd64
libbsd0:amd64	0.11.5-1	amd64
libbullet-dev:amd64	3.06+dfsg-4build2	amd64
libbullet3.06:amd64	3.06+dfsg-4build2	amd64
libbz2-1.0:amd64	1.0.8-5build1	amd64
libc-bin	2.35-0ubuntu3.4	amd64
libc-dev-bin	2.35-0ubuntu3.4	amd64
libc6:amd64	2.35-0ubuntu3.4	amd64
libc6-dev:amd64	2.35-0ubuntu3.4	amd64
libcaca0:amd64	0.99.beta19-2.2ubuntu4.1	amd64
libcairo-gobject2:amd64	1.16.0-5ubuntu2.1	amd64
libcairo2:amd64	1.16.0-5ubuntu2.1	amd64
libcap-ng0:amd64	0.7.9-2.2build3	amd64
libcap2:amd64	1:2.44-1ubuntu0.22.04.1	amd64
libcap2-bin	1:2.44-1ubuntu0.22.04.3	amd64
libcbor0.8:amd64	0.8.0-2ubuntu1	amd64
libcc1-0:amd64	12.3.0-1ubuntu1~22.04.3	amd64
libcdio-cdda2:amd64	10.2+2.0.0-1build3	amd64
libcdio-paranoia2:amd64	10.2+2.0.0-1build3	amd64
libcdio19:amd64	2.1.0-3ubuntu0.2	amd64
libcdt5:amd64	2.42.2-6ubuntu0.1	amd64
libcgraph6:amd64	2.42.2-6ubuntu0.1	amd64
libchromaprint1:amd64	1.5.1-2	amd64
libcodec2-1.0:amd64	1.0.1-3	amd64
libcolord2:amd64	1.4.6-1	amd64
libcom-err2:amd64	1.46.5-2ubuntu1.1	amd64
libconsole-bridge-dev:amd64	1.0.1+dfsg2-3	amd64
libconsole-bridge1.0:amd64	1.0.1+dfsg2-3	amd64
libcrypt-dev:amd64	1:4.4.27-1	amd64
libcrypt1:amd64	1:4.4.27-1	amd64
libcryptsetup12:amd64	2:2.4.3-1ubuntu1.3	amd64
libctf-nobfd0:amd64	2.38-4ubuntu2.3	amd64
libctf0:amd64	2.38-4ubuntu2.3	amd64
libcublas-11-8	11.11.3.6-1	amd64
libcublas-dev-11-8	11.11.3.6-1	amd64
libcudnn8	8.9.6.50-1+cuda11.8	amd64
libcudnn8-dev	8.9.6.50-1+cuda11.8	amd64
libcufft-11-8	10.9.0.58-1	amd64
libcufft-dev-11-8	10.9.0.58-1	amd64
libcufile-11-8	1.4.0.31-1	amd64
libcufile-dev-11-8	1.4.0.31-1	amd64
libcups2:amd64	2.4.1op1-1ubuntu4.16	amd64
libcurand-11-8	10.3.0.86-1	amd64
libcurand-dev-11-8	10.3.0.86-1	amd64
libcurl3-gnutls:amd64	7.81.0-1ubuntu1.24	amd64
libcurl4:amd64	7.81.0-1ubuntu1.24	amd64
libcusolver-11-8	11.4.1.48-1	amd64
libcusolver-dev-11-8	11.4.1.48-1	amd64
libcusparse-11-8	11.7.5.86-1	amd64
libcusparse-dev-11-8	11.7.5.86-1	amd64
libdatrie1:amd64	0.2.13-2	amd64
libdav1d5:amd64	0.9.2-1	amd64
libdb5.3:amd64	5.3.28+dfsg1-0.8ubuntu3	amd64
libdbus-1-3:amd64	1.12.20-2ubuntu4.1	amd64
libdc1394-25:amd64	2.2.6-4	amd64
libdconf1:amd64	0.40.0-3ubuntu0.1	amd64
libdebconfclient0:amd64	0.261ubuntu1	amd64
libdecor-0-0:amd64	0.1.0-3build1	amd64
libdecor-0-plugin-1-cairo:amd64	0.1.0-3build1	amd64
libdeflate0:amd64	1.10-2	amd64
libdevmapper1.02.1:amd64	2:1.02.175-2.1ubuntu5	amd64
libdpkg-perl	1.21.1ubuntu2.2	all
libdrm-amdgpu1:amd64	2.4.113-2~ubuntu0.22.04.1	amd64
libdrm-common	2.4.113-2~ubuntu0.22.04.1	all
libdrm-intel1:amd64	2.4.113-2~ubuntu0.22.04.1	amd64
libdrm-nouveau2:amd64	2.4.113-2~ubuntu0.22.04.1	amd64
libdrm-radeon1:amd64	2.4.113-2~ubuntu0.22.04.1	amd64
libdrm2:amd64	2.4.113-2~ubuntu0.22.04.1	amd64
libdw1:amd64	0.186-1ubuntu0.1	amd64
libedit2:amd64	3.1-20210910-1build1	amd64
libegl-mesa0:amd64	23.2.1-1ubuntu3.1~22.04.3	amd64
libegl1:amd64	1.4.0-1	amd64
libeigen3-dev	3.4.0-2ubuntu2	all
libelf1:amd64	0.186-1ubuntu0.1	amd64
libepoxy0:amd64	1.5.10-1	amd64
liberror-perl	0.17029-1	all
libexpat1:amd64	2.4.7-1ubuntu0.7	amd64
libexpat1-dev:amd64	2.4.7-1ubuntu0.7	amd64
libext2fs2:amd64	1.46.5-2ubuntu1.1	amd64
libffi8:amd64	3.4.2-4	amd64
libfido2-1:amd64	1.10.0-1	amd64
libflac8:amd64	1.3.3-2ubuntu0.2	amd64
libflite1:amd64	2.2-3	amd64
libfmt-dev:amd64	8.1.1+ds1-2	amd64
libfmt8:amd64	8.1.1+ds1-2	amd64
libfontconfig1:amd64	2.13.1-4.2ubuntu5	amd64
libfreetype6:amd64	2.11.1+dfsg-1ubuntu0.3	amd64
libfribidi0:amd64	1.0.8-2ubuntu3.1	amd64
libgbm1:amd64	23.2.1-1ubuntu3.1~22.04.3	amd64
libgcc-11-dev:amd64	11.4.0-1ubuntu1~22.04	amd64
libgcc-s1:amd64	12.3.0-1ubuntu1~22.04.3	amd64
libgcrypt20:amd64	1.9.4-3ubuntu3	amd64
libgd3:amd64	2.3.0-2ubuntu2.3	amd64
libgdbm-compat4:amd64	1.23-1	amd64
libgdbm6:amd64	1.23-1	amd64
libgdk-pixbuf-2.0-0:amd64	2.42.8+dfsg-1ubuntu0.5	amd64
libgdk-pixbuf2.0-bin	2.42.8+dfsg-1ubuntu0.5	amd64
libgdk-pixbuf2.0-common	2.42.8+dfsg-1ubuntu0.5	all
libgfortran5:amd64	12.3.0-1ubuntu1~22.04.3	amd64
libgirepository-1.0-1:amd64	1.72.0-1	amd64
libgl1:amd64	1.4.0-1	amd64
libgl1-amber-dri:amd64	21.3.9-0ubuntu1~22.04.1	amd64
libgl1-mesa-dri:amd64	23.2.1-1ubuntu3.1~22.04.3	amd64
libglapi-mesa:amd64	23.2.1-1ubuntu3.1~22.04.3	amd64
libglib2.0-0:amd64	2.72.4-0ubuntu2.9	amd64
libglib2.0-bin	2.72.4-0ubuntu2.9	amd64
libglib2.0-data	2.72.4-0ubuntu2.9	all
libglvnd0:amd64	1.4.0-1	amd64
libglx-mesa0:amd64	23.2.1-1ubuntu3.1~22.04.3	amd64
libglx0:amd64	1.4.0-1	amd64
libgme0:amd64	0.6.3-2	amd64
libgmp10:amd64	2:6.2.1+dfsg-3ubuntu1	amd64
libgnutls30:amd64	3.7.3-4ubuntu1.2	amd64
libgomp1:amd64	12.3.0-1ubuntu1~22.04.3	amd64
libgpg-error0:amd64	1.43-3	amd64
libgpgme11:amd64	1.16.0-1.2ubuntu4.2	amd64
libgraphite2-3:amd64	1.3.14-1build2	amd64
libgsm1:amd64	1.0.19-1	amd64
libgssapi-krb5-2:amd64	1.19.2-2ubuntu0.2	amd64
libgstreamer1.0-0:amd64	1.20.3-0ubuntu1.1	amd64
libgtest-dev:amd64	1.11.0-3	amd64
libgtk-3-0:amd64	3.24.33-1ubuntu2.2	amd64
libgtk-3-bin	3.24.33-1ubuntu2.2	amd64
libgtk-3-common	3.24.33-1ubuntu2.2	all
libgts-0.7-5:amd64	0.7.6+darcs121130-5	amd64
libgts-bin	0.7.6+darcs121130-5	amd64
libgvc6	2.42.2-6ubuntu0.1	amd64
libgvpr2:amd64	2.42.2-6ubuntu0.1	amd64
libharfbuzz0b:amd64	2.7.4-1ubuntu3.2	amd64
libhogweed6:amd64	3.7.3-1build2	amd64
libice6:amd64	2:1.0.10-1build2	amd64
libicu70:amd64	70.1-2	amd64
libidn2-0:amd64	2.3.2-2build1	amd64
libiec61883-0:amd64	1.2.0-4build3	amd64
libigdgmm12:amd64	22.1.2+ds1-1	amd64
libimagequant0:amd64	2.17.0-1	amd64
libip4tc2:amd64	1.8.7-1ubuntu5.2	amd64
libisl23:amd64	0.24-2build1	amd64
libitm1:amd64	12.3.0-1ubuntu1~22.04.3	amd64
libjack-jackd2-0:amd64	1.9.20~dfsg-1	amd64
libjbig0:amd64	2.1-3.1ubuntu0.22.04.1	amd64
libjpeg-turbo8:amd64	2.1.2-0ubuntu1	amd64
libjpeg8:amd64	8c-2ubuntu10	amd64
libjs-jquery	3.6.0+dfsg+~3.5.13-1	all
libjs-jquery-hotkeys	0~20130707+git2d51e3a9+dfsg-2ubuntu1	all
libjs-jquery-isonscreen	1.2.0-1.1	all
libjs-jquery-metadata	12-3	all
libjs-jquery-tablesorter	1:2.31.3+dfsg1-3	all
libjs-jquery-throttle-debounce	1.1+dfsg.1-2	all
libjs-sphinxdoc	4.3.2-1	all
libjs-underscore	1.13.2~dfsg-2	all
libjson-c5:amd64	0.15-3~ubuntu1.22.04.2	amd64
libjsoncpp25:amd64	1.9.5-3	amd64
libk5crypto3:amd64	1.19.2-2ubuntu0.2	amd64
libkeyutils1:amd64	1.6.1-2ubuntu3	amd64
libkmod2:amd64	29-1ubuntu1.1	amd64
libkrb5-3:amd64	1.19.2-2ubuntu0.2	amd64
libkrb5support0:amd64	1.19.2-2ubuntu0.2	amd64
libksba8:amd64	1.6.0-2ubuntu0.2	amd64
liblab-gamut1:amd64	2.42.2-6ubuntu0.1	amd64
liblapack3:amd64	3.10.0-2ubuntu1	amd64
liblcms2-2:amd64	2.12~rc1-2ubuntu0.1	amd64
libldap-2.5-0:amd64	2.5.16+dfsg-0ubuntu0.22.04.1	amd64
liblilv-0-0:amd64	0.24.12-2	amd64
libllvm15:amd64	1:15.0.7-0ubuntu0.22.04.3	amd64
liblsan0:amd64	12.3.0-1ubuntu1~22.04.3	amd64
libltdl7:amd64	2.4.6-15build2	amd64
liblz4-1:amd64	1.9.3-2build2	amd64
liblzma5:amd64	5.2.5-2ubuntu1	amd64
libmagic-mgc	1:5.41-3ubuntu0.1	amd64
libmagic1:amd64	1:5.41-3ubuntu0.1	amd64
libmd0:amd64	1.0.4-1build1	amd64
libmfx1:amd64	22.3.0-1	amd64
libmnl0:amd64	1.0.4-3build2	amd64
libmount1:amd64	2.37.2-4ubuntu3	amd64
libmp3lame0:amd64	3.100-3build2	amd64
libmpc3:amd64	1.2.1-2build1	amd64
libmpdec3:amd64	2.5.1-2build2	amd64
libmpfr6:amd64	4.1.0-3build3	amd64
libmpg123-0:amd64	1.29.3-1ubuntu0.1	amd64
libmysofa1:amd64	1.2.1~dfsg0-1	amd64
libnccl-dev	2.15.5-1+cuda11.8	amd64
libnccl2	2.15.5-1+cuda11.8	amd64
libncurses6:amd64	6.3-2ubuntu0.1	amd64
libncursesw6:amd64	6.3-2ubuntu0.1	amd64
libnettle8:amd64	3.7.3-1build2	amd64
libnghttp2-14:amd64	1.43.0-1ubuntu0.3	amd64
libnorm1:amd64	1.5.9+dfsg-2	amd64
libnpp-11-8	11.8.0.86-1	amd64
libnpp-dev-11-8	11.8.0.86-1	amd64
libnpth0:amd64	1.6-3build2	amd64
libnsl-dev:amd64	1.3.0-2build2	amd64
libnsl2:amd64	1.3.0-2build2	amd64
libnss-systemd:amd64	249.11-0ubuntu3.20	amd64
libnuma1:amd64	2.0.14-3ubuntu2	amd64
libnvjpeg-11-8	11.9.0.86-1	amd64
libnvjpeg-dev-11-8	11.9.0.86-1	amd64
libogg0:amd64	1.3.5-0ubuntu3	amd64
libopenal-data	1:1.19.1-2build3	all
libopenal1:amd64	1:1.19.1-2build3	amd64
libopengl0:amd64	1.4.0-1	amd64
libopenjp2-7:amd64	2.4.0-6ubuntu0.5	amd64
libopenmpt0:amd64	0.6.1-1	amd64
libopus0:amd64	1.3.1-0.1build2	amd64
liborocos-kdl-dev:amd64	1.5.1-2build1	amd64
liborocos-kdl1.5:amd64	1.5.1-2build1	amd64
libp11-kit0:amd64	0.24.0-6build1	amd64
libpackagekit-glib2-18:amd64	1.2.5-2ubuntu3.1	amd64
libpam-cap:amd64	1:2.44-1ubuntu0.22.04.3	amd64
libpam-modules:amd64	1.4.0-11ubuntu2.3	amd64
libpam-modules-bin	1.4.0-11ubuntu2.3	amd64
libpam-runtime	1.4.0-11ubuntu2.3	all
libpam-systemd:amd64	249.11-0ubuntu3.20	amd64
libpam0g:amd64	1.4.0-11ubuntu2.3	amd64
libpango-1.0-0:amd64	1.50.6+ds-2ubuntu1	amd64
libpangocairo-1.0-0:amd64	1.50.6+ds-2ubuntu1	amd64
libpangoft2-1.0-0:amd64	1.50.6+ds-2ubuntu1	amd64
libpaper-utils	1.1.28build2	amd64
