association_cost,association_model,depth_m,drawer_depth_residual_m,drawer_projective_error_px,drawer_track_axis_residual_m,drawer_track_perpendicular_residual_m,drawer_track_total_residual_m,forward_backward_error_px,original_frame_id,q_t,seed_frame_id,static_depth_residual_m,static_projective_error_px,static_track_axis_residual_m,static_track_perpendicular_residual_m,static_track_total_residual_m,track_id,tracking_confidence,u,v
0.0,seed,2.886000156402588,0.0,0.0,0.08328109228764971,0.015851793497205325,0.08477629202614413,0.0,177,0.0,177,0.0,0.0,0.06741186364118126,0.014292411426691996,0.06891032131667252,20,1.0,192.0,56.0
1.6008904370505044,ambiguous,2.8960001468658447,0.033042280082912434,4.810000420627551,0.0022591305773697326,0.007693476135257291,0.008018306929107938,0.6538960337638855,183,0.00917081126755237,177,0.02844922390320548,4.302674872280034,-0.004439286801546227,0.005802309486497133,0.007305755449197375,20,0.1994225555136054,184.79812622070312,48.25927734375
1.5836232882840922,static,2.879000186920166,0.0252301189188211,5.714485111224933,-0.002206634379181115,0.007784026743589923,0.008090754453591281,1.2149505615234375,184,0.019908451540738836,177,0.015343400614184155,4.609395545700126,0.0018325885150891484,0.0096949103541705,0.009866593507439082,20,0.20502886510937532,184.14744567871094,47.19208908081055
2.9167351639146037,static,2.932000160217285,0.10780645807332778,10.831420487155071,-0.12803921979200314,0.045876776087435706,0.13601000106286892,1.3285598754882812,188,0.07293716335462896,177,0.07223405842470498,6.871404562926729,-0.0709712850838425,0.04382544865340151,0.08341218889421363,20,0.03604845623288947,183.3202362060547,38.81029510498047
0.0,seed,2.7110002040863037,0.0,0.0,0.08988695354249349,0.010240006153440052,0.09046834884738902,0.0,177,0.0,177,0.0,0.0,0.05668727704419009,0.007287901901387797,0.05715383532895244,35,1.0,136.0,80.0
1.0613203560397997,static,2.7080001831054688,0.030765140086230325,3.7775928639010803,0.023885492267205773,0.004949597622061434,0.02439293458087942,0.8649143576622009,184,0.019908451540738836,177,0.02087842178159338,2.7722955817865342,0.010594267309641109,0.006402972065056247,0.012378875195025634,35,0.3459970585666866,129.08718872070312,72.30563354492188
1.3458680416397186,static,2.7250001430511475,0.05259326030075595,4.507732903378649,-0.0007684662452671553,0.008643999263022934,0.008678091012962241,0.7303202152252197,185,0.03180521933127545,177,0.03685697159811774,2.942964928524737,-0.002162923412295151,0.011109724260078647,0.011318313073176345,35,0.2603136466742089,128.33413696289062,71.74209594726562
1.645257817065186,static,2.744000196456909,0.07620496748552075,4.864780957980469,-0.020980786268592892,0.02498933204787241,0.03262912975620403,0.6215987205505371,186,0.045213219262714155,177,0.05399440274985068,2.821836231032166,-0.008967243504182156,0.02688647435150923,0.02834244095200095,35,0.19296280727546467,127.81949615478516,71.65880584716797
2.2230735532978345,static,2.746000051498413,0.09010438562847334,7.93483694175863,-0.07664124708783025,0.024277072444039014,0.08039438414237009,0.8761768341064453,187,0.05919969964910532,177,0.06133337064272659,4.828921045830131,-0.05064122393702838,0.021923526900569958,0.0551831006160425,35,0.06025758508990771,127.3021011352539,64.72594451904297
0.0,seed,2.51200008392334,0.0,0.0,0.09348221031942232,0.01391372158558728,0.09451198492554236,0.0,177,0.0,177,0.0,0.0,0.0584927282849005,0.011155594077069585,0.059547011187997906,47,1.0,152.0,88.0
1.2501867561589937,static,2.5280001163482666,0.0417926426859041,4.075594873470755,0.02002050285145587,0.008275669435946927,0.0216635001566741,0.5964522361755371,184,0.019908451540738836,177,0.031905924381266715,2.88799580465816,0.004939472357672772,0.00487029003677602,0.006936722007874698,47,0.28645129532082175,145.24176025390625,79.98108673095703
1.5133546826693351,static,2.5370001792907715,0.05509213554266079,5.278647286577142,-0.0002457310205819082,0.0027640755516508734,0.0027749770070597535,0.9291846752166748,185,0.03180521933127545,177,0.03935584684002258,3.449596568039325,-0.0034299937238283203,0.005653381760934087,0.0066125322139377034,47,0.22017011049860036,143.9396514892578,79.55262756347656
1.4952893076153124,static,2.5440001487731934,0.06549731734700259,5.644645132450513,-0.011161757293387238,0.008850468467215662,0.014244845312100159,1.0653445720672607,186,0.045213219262714155,177,0.043286752611332524,3.095675518892915,-0.0009380200651949221,0.010551204821529696,0.01059281854978078,47,0.22400329154332926,143.537353515625,79.21333312988281
2.484318959366076,static,2.565000057220459,0.09704464516054756,8.97721147374916,-0.07622908873423563,0.024768959048639332,0.080152200853159,1.182129144668579,187,0.05919969964910532,177,0.06827363017480037,5.415424081250354,-0.05201887111965217,0.021535241699490573,0.056300351576330857,47,0.08326641220267025,142.69651794433594,72.70658874511719
0.0,seed,2.386000156402588,0.0,0.0,-0.03458554720131059,0.040168781671390666,0.05300651937429898,0.0,177,0.0,177,0.0,0.0,-0.11492821892550743,0.036443936244509825,0.12056805544746611,50,1.0,184.0,88.0
0.7667118172349168,drawer,2.3340001106262207,0.015804152385803683,1.971207729445182,-0.007333828958178523,0.03715744000606206,0.03787427088396448,1.0077236890792847,187,0.05919969964910532,177,0.04457516737155087,5.985235165035513,-0.02847680103327012,0.03341126738841618,0.04390035290961448,50,0.46453804573066826,184.15281677246094,79.06177520751953
2.474267779882845,drawer,2.3560001850128174,0.0071349095101629345,7.4034895770124844,0.019559008198348903,0.029514582773442107,0.03540713767015692,1.2122917175292969,189,0.08973465676920167,177,0.036376910709475574,13.140598082687358,0.028950993243353686,0.03323987833449294,0.04408003540684381,50,0.08422460853816433,191.55776977539062,78.84927368164062
2.869660578398258,drawer,2.365000009536743,0.01606328649167077,8.524268438949985,0.026842432538800663,0.04345835768286435,0.0510797908873151,1.3093513250350952,190,0.10665393781713517,177,0.03559072938990537,15.459081517436514,0.053153698631738994,0.047200356772398935,0.07108578871810792,50,0.0565348073274098,193.15159606933594,79.70560455322266
0.0,seed,2.574000120162964,0.0,0.0,0.1050799148848222,0.013119264706789601,0.10589572049260673,0.0,177,0.0,177,0.0,0.0,0.06917825109989528,0.01242880280337307,0.07028588453142848,55,1.0,152.0,96.0
1.3162665450639055,static,2.5930001735687256,0.04258648336433524,4.267888936013658,0.028809068874977892,0.005643003167148068,0.029356531371871285,0.4542873799800873,184,0.019908451540738836,177,0.03269976505969785,3.0948907472224936,0.01281585663078971,0.007490417174050752,0.014844276022166626,55,0.268134503654188,145.0786895751953,88.01746368408203
1.848689259721141,static,2.6130001544952393,0.06661571747233097,5.827906509300581,-0.0028164525735030043,0.009229091625548094,0.009649276518555868,1.1538020372390747,185,0.03180521933127545,177,0.0508794287696932,4.0245917533914985,-0.006912897027154502,0.014169514991699774,0.015765890409616776,55,0.15744336099232714,143.4469451904297,87.48894500732422
2.1636405736038515,static,2.640000104904175,0.09693055218060387,5.675840993197078,-0.020393722072925363,0.03154556930540495,0.037563637241218126,1.19627845287323,186,0.045213219262714155,177,0.07471998744493424,3.2752495079750203,-0.011082166595138134,0.03193992090524382,0.03380788316170693,55,0.1148996789564509,143.3316650390625,87.72998046875
2.3924276301833935,static,2.629000186920166,0.09536387414367953,8.68144297590634,-0.06029954375999981,0.019493624845260002,0.06337220516339849,1.1902830600738525,187,0.05919969964910532,177,0.06659285915793234,5.1544849092878,-0.03700150789582143,0.01309092783562255,0.039248999709062815,55,0.08860330252444705,142.97882080078125,81.0364761352539
0.0,seed,2.7910001277923584,0.0,0.0,-0.016489441858514288,0.022354048962813865,0.027777782449958148,0.0,180,0.0,180,0.0,0.0,-0.03587730711769017,0.027208075254389053,0.04502733086765814,92,1.0,136.0,40.0
0.653581048561454,ambiguous,2.7880001068115234,0.0037036438279081096,1.940967718517157,0.0006551471642694123,0.007369343338102776,0.0073984078720823465,0.9806111454963684,183,0.00917081126755237,180,0.0008894123517992902,2.3616553306884613,-0.009561906827353955,0.008556026791784828,0.012831042694837314,92,0.5201796488247677,136.7082061767578,39.79330825805664
