track_id,label,reason,unique_frame_count,q_span_m,q_span_fraction,static_median_residual_m,static_p90_residual_m,static_max_residual_m,E_static_m,drawer_median_residual_m,drawer_p90_residual_m,drawer_max_residual_m,E_drawer_m,observation_confidence
0,unknown,unknown_insufficient_support,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,unknown,unknown_insufficient_support,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,unknown,unknown_insufficient_support,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,unknown,unknown_insufficient_support,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,unknown,unknown_insufficient_support,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,unknown,unknown_insufficient_support,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,unknown,unknown_insufficient_support,2,0.12346363394546822,0.411230761710599,0.10189862944604568,0.10189862944604568,0.10189862944604568,0.10189862944604568,0.05813698245862846,0.058136982458628465,0.058136982458628465,0.058136982458628465,0.5138228688834358
7,unknown,unknown_insufficient_support,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,unknown,unknown_insufficient_support,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,static,static_track,4,0.045213219262714155,0.15059549117926102,0.01012693846803632,0.04094653043914505,0.05305413957334237,0.04094653043914505,0.012038398604058288,0.052710650151815384,0.06764491472558233,0.052710650151815384,0.40211165076835387
10,unknown,unknown_low_excitation,5,0.00917081126755237,0.030545996278753897,0.040719683974349975,0.07276408069487345,0.09038378768512981,0.07276408069487345,0.035915915887005184,0.07313130441538458,0.09092517096480775,0.07313130441538458,0.30856244794163634
