accepted,association_accepted,association_cost,association_model,drawer_3d_error_m,drawer_association_cost,drawer_axis_error_m,drawer_depth_residual_m,drawer_occluded,drawer_perpendicular_error_m,drawer_predicted_depth_m,drawer_predicted_uv,drawer_projective_error_px,drawer_signed_depth_residual_m,forward_backward_error_px,loftr_confidence,rejection_reason,reverse_keypoint_distance_px,seed_frame_id,seed_keypoint_distance_px,static_3d_error_m,static_association_cost,static_axis_error_m,static_depth_residual_m,static_occluded,static_perpendicular_error_m,static_predicted_depth_m,static_predicted_uv,static_projective_error_px,static_signed_depth_residual_m,target_depth_m,target_frame_id,track_id
False,False,inf,static,0.11909249489877788,inf,0.11646735006873547,0.06432081989948824,True,0.02486722158147269,3.389320867583204,"[134.3820600103366, 20.418331638475337]",3.8789434748504164,-0.06432081989948824,1.8525316715240479,0.9991501569747925,forward_backward_inconsistent,1.5777365995475554,177,0.0,0.11909249489877788,inf,0.11646735006873547,0.06432081989948824,True,0.02486722158147269,3.389320867583204,"[134.3820600103366, 20.418331638475337]",3.8789434748504164,-0.06432081989948824,3.325000047683716,178,0
False,False,inf,static,0.10707008928579412,inf,0.10252367857320417,0.06212576839205175,True,0.03086906787524106,3.2091258427786484,"[142.48307152296377, 28.528715719208066]",3.4666674592696283,-0.06212576839205175,1.0928019285202026,0.9999957084655762,occluded_under_both_models,1.1892527953328662,177,0.0,0.10707008928579412,inf,0.10252367857320417,0.06212576839205175,True,0.03086906787524106,3.2091258427786484,"[142.48307152296377, 28.528715719208066]",3.4666674592696283,-0.06212576839205175,3.1470000743865967,178,1
False,False,inf,static,0.10953558188594661,inf,0.09733447139905976,0.0675610548384129,True,0.05023986839710604,3.323561096800083,"[158.59853461913707, 28.52272157911068]",3.0473148540462027,-0.0675610548384129,1.4479999542236328,0.999876856803894,occluded_under_both_models,0.777364153842165,177,0.0,0.10953558188594661,inf,0.09733447139905976,0.0675610548384129,True,0.05023986839710604,3.323561096800083,"[158.59853461913707, 28.52272157911068]",3.0473148540462027,-0.0675610548384129,3.25600004196167,178,2
False,False,inf,static,0.11752249538016299,inf,0.09603117262846703,0.08073464630675264,True,0.06774622354037159,3.3917347550256247,"[166.65183457297752, 28.519979498245476]",2.42057204740069,-0.08073464630675264,1.5960773229599,0.60530686378479,forward_backward_inconsistent,1.328921925834728,177,0.0,0.11752249538016299,inf,0.09603117262846703,0.08073464630675264,True,0.06774622354037159,3.3917347550256247,"[166.65183457297752, 28.519979498245476]",2.42057204740069,-0.08073464630675264,3.311000108718872,178,3
False,True,0.9013525393241528,ambiguous,0.04189676910121136,0.9013525393241528,0.03667197960169222,0.0013939301470911047,False,0.020260927254528317,3.0393940369586145,"[94.12522317479039, 36.672827580384165]",2.702035898032386,-0.0013939301470911047,1.522832989692688,0.9999346733093262,forward_backward_inconsistent,1.609429321524066,177,0.0,0.04189676910121136,0.9013525393241528,0.03667197960169222,0.0013939301470911047,False,0.020260927254528317,3.0393940369586145,"[94.12522317479039, 36.672827580384165]",2.702035898032386,-0.0013939301470911047,3.0380001068115234,178,4
False,False,inf,static,0.08563090363183735,inf,0.08502549424736568,0.04876609019042322,True,0.010164496288365766,2.8367661970019467,"[118.33478002277661, 36.64408340586397]",3.2321059478466325,-0.04876609019042322,1.5585654973983765,0.8644890189170837,forward_backward_inconsistent,1.7158383152811922,177,0.0,0.08563090363183735,inf,0.08502549424736568,0.04876609019042322,True,0.010164496288365766,2.8367661970019467,"[118.33478002277661, 36.64408340586397]",3.2321059478466325,-0.04876609019042322,2.7880001068115234,178,5
False,False,inf,static,0.0838175636875496,inf,0.08265112477925145,0.04617073725679788,True,0.013934688917986026,2.9341709871194688,"[134.4594094188496, 36.63542357960593]",3.3049786648620394,-0.04617073725679788,1.4556607007980347,1.0,occluded_under_both_models,1.5514708167206306,177,0.0,0.0838175636875496,inf,0.08265112477925145,0.04617073725679788,True,0.013934688917986026,2.9341709871194688,"[134.4594094188496, 36.63542357960593]",3.3049786648620394,-0.04617073725679788,2.888000249862671,178,6
False,False,inf,static,0.09032188566385413,inf,0.08675880027993906,0.05641938179672579,True,0.025118789856599086,2.980419406592258,"[142.51718021988472, 36.63088171678778]",2.9715270717832665,-0.05641938179672579,1.303853988647461,0.9999890327453613,occluded_under_both_models,1.442148330721356,177,0.0,0.09032188566385413,inf,0.08675880027993906,0.05641938179672579,True,0.025118789856599086,2.980419406592258,"[142.51718021988472, 36.63088171678778]",2.9715270717832665,-0.05641938179672579,2.9240000247955322,178,7
False,False,inf,static,0.08611683080662905,inf,0.07644287502611465,0.05792936189143916,True,0.039655963056259166,3.078929508757284,"[158.62370451156067, 36.62186590316284]",2.3081911688461876,-0.05792936189143916,1.6019428968429565,0.9992530941963196,forward_backward_inconsistent,1.408458928291198,177,0.0,0.08611683080662905,inf,0.07644287502611465,0.05792936189143916,True,0.039655963056259166,3.078929508757284,"[158.62370451156067, 36.62186590316284]",2.3081911688461876,-0.05792936189143916,3.0210001468658447,178,8
False,False,inf,static,0.09334918574421554,inf,0.07944286036238725,0.06217420531336071,True,0.04901940856997662,3.1341742320162416,"[166.67250013533607, 36.61749861964424]",2.480711511660042,-0.06217420531336071,1.654700517654419,0.9994903802871704,forward_backward_inconsistent,1.156207598830473,177,0.0,0.09334918574421554,inf,0.07944286036238725,0.06217420531336071,True,0.04901940856997662,3.1341742320162416,"[166.67250013533607, 36.61749861964424]",2.480711511660042,-0.06217420531336071,3.072000026702881,178,9
True,True,1.486767929796777,ambiguous,0.058261941004397105,1.486767929796777,0.009316802550371404,0.03796690787659607,False,0.05751218096922809,3.72803336296691,"[78.1055769778283, 52.93360159618565]",3.433067231577526,0.03796690787659607,0.7698531746864319,0.9999955892562866,,0.8006689004472276,177,0.0,0.058261941004397105,1.486767929796777,0.009316802550371404,0.03796690787659607,False,0.05751218096922809,3.72803336296691,"[78.1055769778283, 52.93360159618565]",3.433067231577526,0.03796690787659607,3.766000270843506,178,10
True,True,1.314265021898474,ambiguous,0.04778910919673974,1.314265021898474,0.0004885298932608244,0.036210201154016186,False,0.047786612103823664,3.458789922823645,"[86.1781123667328, 52.91525048841645]",2.8583654288319478,0.036210201154016186,1.1846717596054077,0.999930739402771,,1.0260919216388378,177,0.0,0.04778910919673974,1.314265021898474,0.0004885298932608244,0.036210201154016186,False,0.047786612103823664,3.458789922823645,"[86.1781123667328, 52.91525048841645]",2.8583654288319478,0.036210201154016186,3.495000123977661,178,11
False,True,0.9604958774926696,ambiguous,0.035947024751271914,0.9604958774926696,0.006214786955059886,0.020915023085364304,False,0.03540572004029537,3.2380850398571406,"[94.24689783468497, 52.89738694657582]",2.417101808706821,0.020915023085364304,2.1039984226226807,0.9984777569770813,forward_backward_inconsistent,1.5095190832448502,177,0.0,0.035947024751271914,0.9604958774926696,0.006214786955059886,0.020915023085364304,False,0.03540572004029537,3.2380850398571406,"[94.24689783468497, 52.89738694657582]",2.417101808706821,0.020915023085364304,3.259000062942505,178,12
False,True,0.5408339713044779,ambiguous,0.018928657807604655,0.5408339713044779,0.0087225203937219,0.009305802362578053,False,0.01679915844256783,2.9006942834681104,"[110.37342310562539, 52.86310921306614]",1.4647180442285936,0.009305802362578053,2.4492204189300537,0.9700566530227661,forward_backward_inconsistent,2.0708635386914858,177,0.0,0.018928657807604655,0.5408339713044779,0.0087225203937219,0.009305802362578053,False,0.01679915844256783,2.9006942834681104,"[110.37342310562539, 52.86310921306614]",1.4647180442285936,0.009305802362578053,2.9100000858306885,178,13
False,True,1.0350735395135817,ambiguous,0.03987050743796738,1.0350735395135817,0.030005359665615763,0.005161501383267542,False,0.02625520433548463,2.6878385768180264,"[126.44152824238722, 44.735363197462064]",3.080996417043078,0.005161501383267542,1.7753087282180786,0.9992569088935852,forward_backward_inconsistent,2.1185820489710854,177,0.0,0.03987050743796738,1.0350735395135817,0.030005359665615763,0.005161501383267542,False,0.02625520433548463,2.6878385768180264,"[126.44152824238722, 44.735363197462064]",3.080996417043078,0.005161501383267542,2.693000078201294,178,14
False,True,1.0040952618807717,ambiguous,0.0477641224126957,1.0040952618807717,0.04745482983446986,0.01995774210852108,False,0.005426832891889114,2.7479579061405035,"[134.49800329264338, 44.7304402327036]",2.6140703194898305,-0.01995774210852108,1.8345932960510254,0.9999591112136841,forward_backward_inconsistent,2.1197718507511647,177,0.0,0.0477641224126957,1.0040952618807717,0.04745482983446986,0.01995774210852108,False,0.005426832891889114,2.7479579061405035,"[134.49800329264338, 44.7304402327036]",2.6140703194898305,-0.01995774210852108,2.7280001640319824,178,15
False,True,0.9171836032600781,ambiguous,0.04441529581877567,0.9171836032600781,0.04431162494383158,0.0252588269620051,False,0.0030328860028945694,2.78425888990451,"[142.55127117981513, 44.724171718132226]",1.995553795099085,-0.0252588269620051,1.9910691976547241,0.9998879432678223,forward_backward_inconsistent,2.414197585521369,177,0.0,0.04441529581877567,0.9171836032600781,0.04431162494383158,0.0252588269620051,False,0.0030328860028945694,2.78425888990451,"[142.55127117981513, 44.724171718132226]",1.995553795099085,-0.0252588269620051,2.759000062942505,178,16
False,True,0.8860960852552899,ambiguous,0.04481774340145272,0.8860960852552899,0.042645381220276675,0.02679108998778812,False,0.013784106216063937,2.8747911395788526,"[158.64893555769333, 44.7123673260474]",1.7404259170862018,-0.02679108998778812,1.9271763563156128,0.9948936700820923,forward_backward_inconsistent,1.9933554576528656,177,0.0,0.04481774340145272,0.8860960852552899,0.042645381220276675,0.02679108998778812,False,0.013784106216063937,2.8747911395788526,"[158.64893555769333, 44.7123673260474]",1.7404259170862018,-0.02679108998778812,2.8480000495910645,178,17
False,False,inf,static,0.05299967100059494,inf,0.0472151511121409,0.036071584769300724,True,0.024076848457159097,2.9220717411718886,"[166.69327092333225, 44.70645899100343]",1.5972575141401142,-0.036071584769300724,1.978441834449768,0.9967897534370422,forward_backward_inconsistent,2.0106525079817312,177,0.0,0.05299967100059494,inf,0.0472151511121409,0.036071584769300724,True,0.024076848457159097,2.9220717411718886,"[166.69327092333225, 44.70645899100343]",1.5972575141401142,-0.036071584769300724,2.886000156402588,178,18
False,False,inf,static,0.050576489157852296,inf,0.03724840712308112,0.03560875562490029,True,0.03421311769376696,3.0306088796025614,"[182.77311174730463, 44.695048326058355]",1.2162105276322404,-0.03560875562490029,2.6427996158599854,0.9726483225822449,forward_backward_inconsistent,2.3763437464133936,177,0.0,0.050576489157852296,inf,0.03724840712308112,0.03560875562490029,True,0.03421311769376696,3.0306088796025614,"[182.77311174730463, 44.695048326058355]",1.2162105276322404,-0.03560875562490029,2.995000123977661,178,19
False,True,0.4943379478985019,ambiguous,0.02523411613310385,0.4943379478985019,0.013702976702684019,0.01753916184958726,False,0.021189361635138303,2.8735393468624046,"[190.81582974739928, 52.76447717060499]",0.6848030334856668,-0.01753916184958726,3.478543281555176,0.3852512836456299,forward_backward_inconsistent,3.0460180292467034,177,0.0,0.02523411613310385,0.4943379478985019,0.013702976702684019,0.01753916184958726,False,0.021189361635138303,2.8735393468624046,"[190.81582974739928, 52.76447717060499]",0.6848030334856668,-0.01753916184958726,2.8560001850128174,178,20
True,True,1.561282871369675,ambiguous,0.06137401749914208,1.561282871369675,-0.0017746804366705338,0.045881858836438916,False,0.061348353957809625,3.845118412007067,"[78.17440703549148, 61.03674696027619]",3.1775772818339405,0.045881858836438916,1.0973193645477295,0.9998388290405273,,1.0066338375253703,177,0.0,0.06137401749914208,1.561282871369675,-0.0017746804366705338,0.045881858836438916,False,0.061348353957809625,3.845118412007067,"[78.17440703549148, 61.03674696027619]",3.1775772818339405,0.045881858836438916,3.891000270843506,178,21
True,True,1.4377543398397772,ambiguous,0.053690024292865166,1.4377543398397772,-0.0080209888900125,0.044338431343454054,False,0.05308749801784548,3.589661631599051,"[86.24286319099939, 61.017530096752154]",2.7470111206205936,0.044338431343454054,1.4335339069366455,0.9999946355819702,,1.1298188502434685,177,0.0,0.053690024292865166,1.4377543398397772,-0.0080209888900125,0.044338431343454054,False,0.05308749801784548,3.589661631599051,"[86.24286319099939, 61.017530096752154]",2.7470111206205936,0.044338431343454054,3.634000062942505,178,22
False,True,1.4159456765482337,ambiguous,0.05389281994958234,1.4159456765482337,-0.029269285827127935,0.051003711342330504,False,0.04525201596932437,3.349996549964432,"[94.30764429080158, 60.99771361322787]",1.8469880807085606,0.051003711342330504,2.2426528930664062,0.997545599937439,forward_backward_inconsistent,1.9282614342623592,177,0.0,0.05389281994958234,1.4159456765482337,-0.029269285827127935,0.051003711342330504,False,0.04525201596932437,3.349996549964432,"[94.30764429080158, 60.99771361322787]",1.8469880807085606,0.051003711342330504,3.4010002613067627,178,23
False,True,0.4796084762872046,ambiguous,0.017256560288883813,0.4796084762872046,0.00507224865076546,0.009327768240146028,False,0.016494276784045116,2.981672407235928,"[110.42613980871366, 60.959365774667674]",1.2572997953216047,0.009327768240146028,2.226139545440674,0.9876384735107422,forward_backward_inconsistent,2.2129321902512773,177,0.0,0.017256560288883813,0.4796084762872046,0.00507224865076546,0.009327768240146028,False,0.016494276784045116,2.981672407235928,"[110.42613980871366, 60.959365774667674]",1.2572997953216047,0.009327768240146028,2.991000175476074,178,24
False,True,0.5901530835704607,ambiguous,0.019905756794841745,0.5901530835704607,0.005305616599187267,0.01376455946213806,False,0.019185660949725365,2.8242354996656696,"[118.47987203602759, 60.940089629553526]",1.4383309899860073,0.01376455946213806,2.278888463973999,0.9816004037857056,forward_backward_inconsistent,2.0754290422758,177,0.0,0.019905756794841745,0.5901530835704607,0.005305616599187267,0.01376455946213806,False,0.019185660949725365,2.8242354996656696,"[118.47987203602759, 60.940089629553526]",1.4383309899860073,0.01376455946213806,2.8380000591278076,178,25
False,True,0.5099930041751806,ambiguous,0.017909338636830002,0.5099930041751806,0.0012522316390993432,0.013783047048621544,False,0.017865506607165956,2.4992169643954703,"[150.66081483074979, 60.87525284189927]",1.1279366594941114,0.013783047048621544,2.750502109527588,0.9954218864440918,forward_backward_inconsistent,5.50031557504076,177,0.0,0.017909338636830002,0.5099930041751806,0.0012522316390993432,0.013783047048621544,False,0.017865506607165956,2.4992169643954703,"[150.66081483074979, 60.87525284189927]",1.1279366594941114,0.013783047048621544,2.513000011444092,178,26
False,True,0.23055997126416208,ambiguous,0.008303226305414095,0.23055997126416208,0.0029937952904454403,0.004470650461468217,False,0.007744724452027154,2.533529456350055,"[158.6992263103076, 60.86625301964685]",0.604975890579914,0.004470650461468217,5.431815147399902,0.9710146188735962,forward_backward_inconsistent,2.957610347298796,177,0.0,0.008303226305414095,0.23055997126416208,0.0029937952904454403,0.004470650461468217,False,0.007744724452027154,2.533529456350055,"[158.6992263103076, 60.86625301964685]",0.604975890579914,0.004470650461468217,2.5380001068115234,178,27
